Параметры системы
Время откачки форвакуумным насосом:                    1500
Время откачки вакуумным насосм до вкл. нагрева камеры: 2500
Время нагрева камеры:                                  4010
Время откачки после нагрева:                           4110
Форвакуумный насос
Скорость откачки:                                      0,055
Диаметр соединительного канала:                        0,025
Длина соединительного канала:                          0,5
Вакуумный насос
Скорость откачки:                                      0,31
Диаметр соединительного канала:                        0,04
Длина соединительного канала:                          0,5
Площадь поеверхности:                                  2
Объем:                                                 1,5
Начальное давление в системе:                          100000
Температура до нагрева:                                293
Температура нагрева                                    893
Удальное газовыделение стенок:                         0,00001
Коэф. скорости газовыделения:                          0,003
Постоянный коэф.:                                      -3000
Поток до нагрева:                                      0,0000000001
Поток после нагрева:                                   0,0000000000001
Откачка форвакуумным насосом
давление 1E+5 Па.,   время 0 c.
давление 5,207E+3 Па.,   время 100 c.
давление 5,056E+3 Па.,   время 101 c.
давление 4,91E+3 Па.,   время 102 c.
давление 4,768E+3 Па.,   время 103 c.
давление 4,63E+3 Па.,   время 104 c.
давление 4,496E+3 Па.,   время 105 c.
давление 4,366E+3 Па.,   время 106 c.
давление 4,24E+3 Па.,   время 107 c.
давление 4,118E+3 Па.,   время 108 c.
давление 3,999E+3 Па.,   время 109 c.
давление 3,884E+3 Па.,   время 110 c.
давление 3,772E+3 Па.,   время 111 c.
давление 3,663E+3 Па.,   время 112 c.
давление 3,558E+3 Па.,   время 113 c.
давление 3,455E+3 Па.,   время 114 c.
давление 3,356E+3 Па.,   время 115 c.
давление 3,259E+3 Па.,   время 116 c.
давление 3,165E+3 Па.,   время 117 c.
давление 3,074E+3 Па.,   время 118 c.
давление 2,986E+3 Па.,   время 119 c.
давление 2,9E+3 Па.,   время 120 c.
давление 2,817E+3 Па.,   время 121 c.
давление 2,736E+3 Па.,   время 122 c.
давление 2,658E+3 Па.,   время 123 c.
давление 2,582E+3 Па.,   время 124 c.
давление 2,508E+3 Па.,   время 125 c.
давление 2,436E+3 Па.,   время 126 c.
давление 2,366E+3 Па.,   время 127 c.
давление 2,299E+3 Па.,   время 128 c.
давление 2,233E+3 Па.,   время 129 c.
давление 2,169E+3 Па.,   время 130 c.
давление 2,107E+3 Па.,   время 131 c.
давление 2,047E+3 Па.,   время 132 c.
давление 1,989E+3 Па.,   время 133 c.
давление 1,932E+3 Па.,   время 134 c.
давление 1,877E+3 Па.,   время 135 c.
давление 1,824E+3 Па.,   время 136 c.
давление 1,772E+3 Па.,   время 137 c.
давление 1,722E+3 Па.,   время 138 c.
давление 1,673E+3 Па.,   время 139 c.
давление 1,625E+3 Па.,   время 140 c.
давление 1,579E+3 Па.,   время 141 c.
давление 1,535E+3 Па.,   время 142 c.
давление 1,491E+3 Па.,   время 143 c.
давление 1,449E+3 Па.,   время 144 c.
давление 1,408E+3 Па.,   время 145 c.
давление 1,368E+3 Па.,   время 146 c.
давление 1,33E+3 Па.,   время 147 c.
давление 1,293E+3 Па.,   время 148 c.
давление 1,256E+3 Па.,   время 149 c.
давление 1,221E+3 Па.,   время 150 c.
давление 1,187E+3 Па.,   время 151 c.
давление 1,153E+3 Па.,   время 152 c.
давление 1,121E+3 Па.,   время 153 c.
давление 1,09E+3 Па.,   время 154 c.
давление 1,059E+3 Па.,   время 155 c.
давление 1,03E+3 Па.,   время 156 c.
давление 1,001E+3 Па.,   время 157 c.
давление 9,734E+2 Па.,   время 158 c.
давление 9,464E+2 Па.,   время 159 c.
давление 9,202E+2 Па.,   время 160 c.
давление 8,947E+2 Па.,   время 161 c.
давление 8,7E+2 Па.,   время 162 c.
давление 8,46E+2 Па.,   время 163 c.
давление 8,227E+2 Па.,   время 164 c.
давление 8E+2 Па.,   время 165 c.
давление 7,78E+2 Па.,   время 166 c.
давление 7,567E+2 Па.,   время 167 c.
давление 7,36E+2 Па.,   время 168 c.
давление 7,159E+2 Па.,   время 169 c.
давление 6,964E+2 Па.,   время 170 c.
давление 6,774E+2 Па.,   время 171 c.
давление 6,59E+2 Па.,   время 172 c.
давление 6,411E+2 Па.,   время 173 c.
давление 6,238E+2 Па.,   время 174 c.
давление 6,069E+2 Па.,   время 175 c.
давление 5,906E+2 Па.,   время 176 c.
давление 5,747E+2 Па.,   время 177 c.
давление 5,592E+2 Па.,   время 178 c.
давление 5,443E+2 Па.,   время 179 c.
давление 5,297E+2 Па.,   время 180 c.
давление 5,156E+2 Па.,   время 181 c.
давление 5,019E+2 Па.,   время 182 c.
давление 4,886E+2 Па.,   время 183 c.
давление 4,756E+2 Па.,   время 184 c.
давление 4,631E+2 Па.,   время 185 c.
давление 4,509E+2 Па.,   время 186 c.
давление 4,39E+2 Па.,   время 187 c.
давление 4,275E+2 Па.,   время 188 c.
давление 4,164E+2 Па.,   время 189 c.
давление 4,055E+2 Па.,   время 190 c.
давление 3,95E+2 Па.,   время 191 c.
давление 3,848E+2 Па.,   время 192 c.
давление 3,748E+2 Па.,   время 193 c.
давление 3,652E+2 Па.,   время 194 c.
давление 3,558E+2 Па.,   время 195 c.
давление 3,467E+2 Па.,   время 196 c.
давление 3,379E+2 Па.,   время 197 c.
давление 3,293E+2 Па.,   время 198 c.
давление 3,209E+2 Па.,   время 199 c.
давление 3,128E+2 Па.,   время 200 c.
давление 3,05E+2 Па.,   время 201 c.
давление 2,973E+2 Па.,   время 202 c.
давление 2,899E+2 Па.,   время 203 c.
давление 2,827E+2 Па.,   время 204 c.
давление 2,757E+2 Па.,   время 205 c.
давление 2,689E+2 Па.,   время 206 c.
давление 2,622E+2 Па.,   время 207 c.
давление 2,558E+2 Па.,   время 208 c.
давление 2,496E+2 Па.,   время 209 c.
давление 2,435E+2 Па.,   время 210 c.
давление 2,376E+2 Па.,   время 211 c.
давление 2,319E+2 Па.,   время 212 c.
давление 2,263E+2 Па.,   время 213 c.
давление 2,209E+2 Па.,   время 214 c.
давление 2,156E+2 Па.,   время 215 c.
давление 2,105E+2 Па.,   время 216 c.
давление 2,056E+2 Па.,   время 217 c.
давление 2,007E+2 Па.,   время 218 c.
давление 1,96E+2 Па.,   время 219 c.
давление 1,915E+2 Па.,   время 220 c.
давление 1,87E+2 Па.,   время 221 c.
давление 1,827E+2 Па.,   время 222 c.
давление 1,785E+2 Па.,   время 223 c.
давление 1,745E+2 Па.,   время 224 c.
давление 1,705E+2 Па.,   время 225 c.
давление 1,666E+2 Па.,   время 226 c.
давление 1,629E+2 Па.,   время 227 c.
давление 1,593E+2 Па.,   время 228 c.
давление 1,557E+2 Па.,   время 229 c.
давление 1,523E+2 Па.,   время 230 c.
давление 1,489E+2 Па.,   время 231 c.
давление 1,456E+2 Па.,   время 232 c.
давление 1,425E+2 Па.,   время 233 c.
давление 1,394E+2 Па.,   время 234 c.
давление 1,364E+2 Па.,   время 235 c.
давление 1,335E+2 Па.,   время 236 c.
давление 1,306E+2 Па.,   время 237 c.
давление 1,279E+2 Па.,   время 238 c.
давление 1,252E+2 Па.,   время 239 c.
давление 1,225E+2 Па.,   время 240 c.
давление 1,2E+2 Па.,   время 241 c.
давление 1,175E+2 Па.,   время 242 c.
давление 1,151E+2 Па.,   время 243 c.
давление 1,127E+2 Па.,   время 244 c.
давление 1,104E+2 Па.,   время 245 c.
давление 1,082E+2 Па.,   время 246 c.
давление 1,06E+2 Па.,   время 247 c.
давление 1,039E+2 Па.,   время 248 c.
давление 1,019E+2 Па.,   время 249 c.
давление 9,986E+1 Па.,   время 250 c.
давление 9,79E+1 Па.,   время 251 c.
давление 9,599E+1 Па.,   время 252 c.
давление 9,414E+1 Па.,   время 253 c.
давление 9,233E+1 Па.,   время 254 c.
давление 9,057E+1 Па.,   время 255 c.
давление 8,885E+1 Па.,   время 256 c.
давление 8,717E+1 Па.,   время 257 c.
давление 8,554E+1 Па.,   время 258 c.
давление 8,395E+1 Па.,   время 259 c.
давление 8,24E+1 Па.,   время 260 c.
давление 8,088E+1 Па.,   время 261 c.
давление 7,941E+1 Па.,   время 262 c.
давление 7,797E+1 Па.,   время 263 c.
давление 7,657E+1 Па.,   время 264 c.
давление 7,52E+1 Па.,   время 265 c.
давление 7,386E+1 Па.,   время 266 c.
давление 7,256E+1 Па.,   время 267 c.
давление 7,129E+1 Па.,   время 268 c.
давление 7,005E+1 Па.,   время 269 c.
давление 6,884E+1 Па.,   время 270 c.
давление 6,765E+1 Па.,   время 271 c.
давление 6,65E+1 Па.,   время 272 c.
давление 6,537E+1 Па.,   время 273 c.
давление 6,427E+1 Па.,   время 274 c.
давление 6,32E+1 Па.,   время 275 c.
давление 6,215E+1 Па.,   время 276 c.
давление 6,113E+1 Па.,   время 277 c.
давление 6,012E+1 Па.,   время 278 c.
давление 5,915E+1 Па.,   время 279 c.
давление 5,819E+1 Па.,   время 280 c.
давление 5,726E+1 Па.,   время 281 c.
давление 5,635E+1 Па.,   время 282 c.
давление 5,546E+1 Па.,   время 283 c.
давление 5,458E+1 Па.,   время 284 c.
давление 5,373E+1 Па.,   время 285 c.
давление 5,29E+1 Па.,   время 286 c.
давление 5,209E+1 Па.,   время 287 c.
давление 5,129E+1 Па.,   время 288 c.
давление 5,051E+1 Па.,   время 289 c.
давление 4,975E+1 Па.,   время 290 c.
давление 4,9E+1 Па.,   время 291 c.
давление 4,828E+1 Па.,   время 292 c.
давление 4,756E+1 Па.,   время 293 c.
давление 4,687E+1 Па.,   время 294 c.
давление 4,618E+1 Па.,   время 295 c.
давление 4,551E+1 Па.,   время 296 c.
давление 4,486E+1 Па.,   время 297 c.
давление 4,422E+1 Па.,   время 298 c.
давление 4,359E+1 Па.,   время 299 c.
давление 4,298E+1 Па.,   время 300 c.
давление 4,238E+1 Па.,   время 301 c.
давление 4,179E+1 Па.,   время 302 c.
давление 4,121E+1 Па.,   время 303 c.
давление 4,065E+1 Па.,   время 304 c.
давление 4,009E+1 Па.,   время 305 c.
давление 3,955E+1 Па.,   время 306 c.
давление 3,902E+1 Па.,   время 307 c.
давление 3,85E+1 Па.,   время 308 c.
давление 3,799E+1 Па.,   время 309 c.
давление 3,749E+1 Па.,   время 310 c.
давление 3,7E+1 Па.,   время 311 c.
давление 3,652E+1 Па.,   время 312 c.
давление 3,605E+1 Па.,   время 313 c.
давление 3,559E+1 Па.,   время 314 c.
давление 3,513E+1 Па.,   время 315 c.
давление 3,469E+1 Па.,   время 316 c.
давление 3,425E+1 Па.,   время 317 c.
давление 3,382E+1 Па.,   время 318 c.
давление 3,34E+1 Па.,   время 319 c.
давление 3,299E+1 Па.,   время 320 c.
давление 3,259E+1 Па.,   время 321 c.
давление 3,219E+1 Па.,   время 322 c.
давление 3,18E+1 Па.,   время 323 c.
давление 3,142E+1 Па.,   время 324 c.
давление 3,105E+1 Па.,   время 325 c.
давление 3,068E+1 Па.,   время 326 c.
давление 3,032E+1 Па.,   время 327 c.
давление 2,996E+1 Па.,   время 328 c.
давление 2,961E+1 Па.,   время 329 c.
давление 2,927E+1 Па.,   время 330 c.
давление 2,893E+1 Па.,   время 331 c.
давление 2,86E+1 Па.,   время 332 c.
давление 2,828E+1 Па.,   время 333 c.
давление 2,796E+1 Па.,   время 334 c.
давление 2,764E+1 Па.,   время 335 c.
давление 2,734E+1 Па.,   время 336 c.
давление 2,703E+1 Па.,   время 337 c.
давление 2,674E+1 Па.,   время 338 c.
давление 2,644E+1 Па.,   время 339 c.
давление 2,616E+1 Па.,   время 340 c.
давление 2,587E+1 Па.,   время 341 c.
давление 2,56E+1 Па.,   время 342 c.
давление 2,532E+1 Па.,   время 343 c.
давление 2,505E+1 Па.,   время 344 c.
давление 2,479E+1 Па.,   время 345 c.
давление 2,453E+1 Па.,   время 346 c.
давление 2,427E+1 Па.,   время 347 c.
давление 2,402E+1 Па.,   время 348 c.
давление 2,377E+1 Па.,   время 349 c.
давление 2,353E+1 Па.,   время 350 c.
давление 2,329E+1 Па.,   время 351 c.
давление 2,305E+1 Па.,   время 352 c.
давление 2,282E+1 Па.,   время 353 c.
давление 2,259E+1 Па.,   время 354 c.
давление 2,237E+1 Па.,   время 355 c.
давление 2,215E+1 Па.,   время 356 c.
давление 2,193E+1 Па.,   время 357 c.
давление 2,171E+1 Па.,   время 358 c.
давление 2,15E+1 Па.,   время 359 c.
давление 2,129E+1 Па.,   время 360 c.
давление 2,109E+1 Па.,   время 361 c.
давление 2,089E+1 Па.,   время 362 c.
давление 2,069E+1 Па.,   время 363 c.
давление 2,049E+1 Па.,   время 364 c.
давление 2,03E+1 Па.,   время 365 c.
давление 2,011E+1 Па.,   время 366 c.
давление 1,992E+1 Па.,   время 367 c.
давление 1,974E+1 Па.,   время 368 c.
давление 1,956E+1 Па.,   время 369 c.
давление 1,938E+1 Па.,   время 370 c.
давление 1,92E+1 Па.,   время 371 c.
давление 1,903E+1 Па.,   время 372 c.
давление 1,885E+1 Па.,   время 373 c.
давление 1,868E+1 Па.,   время 374 c.
давление 1,852E+1 Па.,   время 375 c.
давление 1,835E+1 Па.,   время 376 c.
давление 1,819E+1 Па.,   время 377 c.
давление 1,803E+1 Па.,   время 378 c.
давление 1,787E+1 Па.,   время 379 c.
давление 1,772E+1 Па.,   время 380 c.
давление 1,756E+1 Па.,   время 381 c.
давление 1,741E+1 Па.,   время 382 c.
давление 1,726E+1 Па.,   время 383 c.
давление 1,712E+1 Па.,   время 384 c.
давление 1,697E+1 Па.,   время 385 c.
давление 1,683E+1 Па.,   время 386 c.
давление 1,669E+1 Па.,   время 387 c.
давление 1,655E+1 Па.,   время 388 c.
давление 1,641E+1 Па.,   время 389 c.
давление 1,627E+1 Па.,   время 390 c.
давление 1,614E+1 Па.,   время 391 c.
давление 1,601E+1 Па.,   время 392 c.
давление 1,588E+1 Па.,   время 393 c.
давление 1,575E+1 Па.,   время 394 c.
давление 1,562E+1 Па.,   время 395 c.
давление 1,55E+1 Па.,   время 396 c.
давление 1,537E+1 Па.,   время 397 c.
давление 1,525E+1 Па.,   время 398 c.
давление 1,513E+1 Па.,   время 399 c.
давление 1,501E+1 Па.,   время 400 c.
давление 1,489E+1 Па.,   время 401 c.
давление 1,477E+1 Па.,   время 402 c.
давление 1,466E+1 Па.,   время 403 c.
давление 1,455E+1 Па.,   время 404 c.
давление 1,443E+1 Па.,   время 405 c.
давление 1,432E+1 Па.,   время 406 c.
давление 1,421E+1 Па.,   время 407 c.
давление 1,411E+1 Па.,   время 408 c.
давление 1,4E+1 Па.,   время 409 c.
давление 1,389E+1 Па.,   время 410 c.
давление 1,379E+1 Па.,   время 411 c.
давление 1,369E+1 Па.,   время 412 c.
давление 1,358E+1 Па.,   время 413 c.
давление 1,348E+1 Па.,   время 414 c.
давление 1,338E+1 Па.,   время 415 c.
давление 1,329E+1 Па.,   время 416 c.
давление 1,319E+1 Па.,   время 417 c.
давление 1,309E+1 Па.,   время 418 c.
давление 1,3E+1 Па.,   время 419 c.
давление 1,29E+1 Па.,   время 420 c.
давление 1,281E+1 Па.,   время 421 c.
давление 1,272E+1 Па.,   время 422 c.
давление 1,263E+1 Па.,   время 423 c.
давление 1,254E+1 Па.,   время 424 c.
давление 1,245E+1 Па.,   время 425 c.
давление 1,236E+1 Па.,   время 426 c.
давление 1,228E+1 Па.,   время 427 c.
давление 1,219E+1 Па.,   время 428 c.
давление 1,211E+1 Па.,   время 429 c.
давление 1,202E+1 Па.,   время 430 c.
давление 1,194E+1 Па.,   время 431 c.
давление 1,186E+1 Па.,   время 432 c.
давление 1,178E+1 Па.,   время 433 c.
давление 1,17E+1 Па.,   время 434 c.
давление 1,162E+1 Па.,   время 435 c.
давление 1,154E+1 Па.,   время 436 c.
давление 1,146E+1 Па.,   время 437 c.
давление 1,138E+1 Па.,   время 438 c.
давление 1,131E+1 Па.,   время 439 c.
давление 1,123E+1 Па.,   время 440 c.
давление 1,116E+1 Па.,   время 441 c.
давление 1,109E+1 Па.,   время 442 c.
давление 1,101E+1 Па.,   время 443 c.
давление 1,094E+1 Па.,   время 444 c.
давление 1,087E+1 Па.,   время 445 c.
давление 1,08E+1 Па.,   время 446 c.
давление 1,073E+1 Па.,   время 447 c.
давление 1,066E+1 Па.,   время 448 c.
давление 1,059E+1 Па.,   время 449 c.
давление 1,052E+1 Па.,   время 450 c.
давление 1,046E+1 Па.,   время 451 c.
давление 1,039E+1 Па.,   время 452 c.
давление 1,032E+1 Па.,   время 453 c.
давление 1,026E+1 Па.,   время 454 c.
давление 1,019E+1 Па.,   время 455 c.
давление 1,013E+1 Па.,   время 456 c.
давление 1,007E+1 Па.,   время 457 c.
давление 1,001E+1 Па.,   время 458 c.
давление 9,943E+0 Па.,   время 459 c.
давление 9,882E+0 Па.,   время 460 c.
давление 9,821E+0 Па.,   время 461 c.
давление 9,761E+0 Па.,   время 462 c.
давление 9,702E+0 Па.,   время 463 c.
давление 9,643E+0 Па.,   время 464 c.
давление 9,584E+0 Па.,   время 465 c.
давление 9,526E+0 Па.,   время 466 c.
давление 9,469E+0 Па.,   время 467 c.
давление 9,412E+0 Па.,   время 468 c.
давление 9,356E+0 Па.,   время 469 c.
давление 9,3E+0 Па.,   время 470 c.
давление 9,245E+0 Па.,   время 471 c.
давление 9,19E+0 Па.,   время 472 c.
давление 9,136E+0 Па.,   время 473 c.
давление 9,083E+0 Па.,   время 474 c.
давление 9,029E+0 Па.,   время 475 c.
давление 8,977E+0 Па.,   время 476 c.
давление 8,925E+0 Па.,   время 477 c.
давление 8,873E+0 Па.,   время 478 c.
давление 8,822E+0 Па.,   время 479 c.
давление 8,771E+0 Па.,   время 480 c.
давление 8,72E+0 Па.,   время 481 c.
давление 8,671E+0 Па.,   время 482 c.
давление 8,621E+0 Па.,   время 483 c.
давление 8,572E+0 Па.,   время 484 c.
давление 8,524E+0 Па.,   время 485 c.
давление 8,476E+0 Па.,   время 486 c.
давление 8,428E+0 Па.,   время 487 c.
давление 8,381E+0 Па.,   время 488 c.
давление 8,334E+0 Па.,   время 489 c.
давление 8,287E+0 Па.,   время 490 c.
давление 8,241E+0 Па.,   время 491 c.
давление 8,196E+0 Па.,   время 492 c.
давление 8,15E+0 Па.,   время 493 c.
давление 8,105E+0 Па.,   время 494 c.
давление 8,061E+0 Па.,   время 495 c.
давление 8,017E+0 Па.,   время 496 c.
давление 7,973E+0 Па.,   время 497 c.
давление 7,93E+0 Па.,   время 498 c.
давление 7,887E+0 Па.,   время 499 c.
давление 7,844E+0 Па.,   время 500 c.
давление 7,802E+0 Па.,   время 501 c.
давление 7,76E+0 Па.,   время 502 c.
давление 7,719E+0 Па.,   время 503 c.
давление 7,677E+0 Па.,   время 504 c.
давление 7,637E+0 Па.,   время 505 c.
давление 7,596E+0 Па.,   время 506 c.
давление 7,556E+0 Па.,   время 507 c.
давление 7,516E+0 Па.,   время 508 c.
давление 7,476E+0 Па.,   время 509 c.
давление 7,437E+0 Па.,   время 510 c.
давление 7,398E+0 Па.,   время 511 c.
давление 7,36E+0 Па.,   время 512 c.
давление 7,321E+0 Па.,   время 513 c.
давление 7,284E+0 Па.,   время 514 c.
давление 7,246E+0 Па.,   время 515 c.
давление 7,209E+0 Па.,   время 516 c.
давление 7,171E+0 Па.,   время 517 c.
давление 7,135E+0 Па.,   время 518 c.
давление 7,098E+0 Па.,   время 519 c.
давление 7,062E+0 Па.,   время 520 c.
давление 7,026E+0 Па.,   время 521 c.
давление 6,991E+0 Па.,   время 522 c.
давление 6,955E+0 Па.,   время 523 c.
давление 6,92E+0 Па.,   время 524 c.
давление 6,885E+0 Па.,   время 525 c.
давление 6,851E+0 Па.,   время 526 c.
давление 6,817E+0 Па.,   время 527 c.
давление 6,783E+0 Па.,   время 528 c.
давление 6,749E+0 Па.,   время 529 c.
давление 6,716E+0 Па.,   время 530 c.
давление 6,682E+0 Па.,   время 531 c.
давление 6,649E+0 Па.,   время 532 c.
давление 6,617E+0 Па.,   время 533 c.
давление 6,584E+0 Па.,   время 534 c.
давление 6,552E+0 Па.,   время 535 c.
давление 6,52E+0 Па.,   время 536 c.
давление 6,488E+0 Па.,   время 537 c.
давление 6,457E+0 Па.,   время 538 c.
давление 6,426E+0 Па.,   время 539 c.
давление 6,395E+0 Па.,   время 540 c.
давление 6,364E+0 Па.,   время 541 c.
давление 6,333E+0 Па.,   время 542 c.
давление 6,303E+0 Па.,   время 543 c.
давление 6,273E+0 Па.,   время 544 c.
давление 6,243E+0 Па.,   время 545 c.
давление 6,213E+0 Па.,   время 546 c.
давление 6,184E+0 Па.,   время 547 c.
давление 6,154E+0 Па.,   время 548 c.
давление 6,125E+0 Па.,   время 549 c.
давление 6,097E+0 Па.,   время 550 c.
давление 6,068E+0 Па.,   время 551 c.
давление 6,04E+0 Па.,   время 552 c.
давление 6,011E+0 Па.,   время 553 c.
давление 5,983E+0 Па.,   время 554 c.
давление 5,955E+0 Па.,   время 555 c.
давление 5,928E+0 Па.,   время 556 c.
давление 5,9E+0 Па.,   время 557 c.
давление 5,873E+0 Па.,   время 558 c.
давление 5,846E+0 Па.,   время 559 c.
давление 5,819E+0 Па.,   время 560 c.
давление 5,793E+0 Па.,   время 561 c.
давление 5,766E+0 Па.,   время 562 c.
давление 5,74E+0 Па.,   время 563 c.
давление 5,714E+0 Па.,   время 564 c.
давление 5,688E+0 Па.,   время 565 c.
давление 5,662E+0 Па.,   время 566 c.
давление 5,637E+0 Па.,   время 567 c.
давление 5,611E+0 Па.,   время 568 c.
давление 5,586E+0 Па.,   время 569 c.
давление 5,561E+0 Па.,   время 570 c.
давление 5,536E+0 Па.,   время 571 c.
давление 5,511E+0 Па.,   время 572 c.
давление 5,487E+0 Па.,   время 573 c.
давление 5,462E+0 Па.,   время 574 c.
давление 5,438E+0 Па.,   время 575 c.
давление 5,414E+0 Па.,   время 576 c.
давление 5,39E+0 Па.,   время 577 c.
давление 5,366E+0 Па.,   время 578 c.
давление 5,343E+0 Па.,   время 579 c.
давление 5,319E+0 Па.,   время 580 c.
давление 5,296E+0 Па.,   время 581 c.
