давление 1E+5 Па.,   время 0 c.
давление 1,745E+2 Па.,   время 224 c.
давление 1,705E+2 Па.,   время 225 c.
давление 1,666E+2 Па.,   время 226 c.
давление 1,629E+2 Па.,   время 227 c.
давление 1,593E+2 Па.,   время 228 c.
давление 1,557E+2 Па.,   время 229 c.
давление 1,523E+2 Па.,   время 230 c.
давление 1,489E+2 Па.,   время 231 c.
давление 1,456E+2 Па.,   время 232 c.
давление 1,425E+2 Па.,   время 233 c.
давление 1,394E+2 Па.,   время 234 c.
давление 1,364E+2 Па.,   время 235 c.
давление 1,335E+2 Па.,   время 236 c.
давление 1,306E+2 Па.,   время 237 c.
давление 1,279E+2 Па.,   время 238 c.
давление 1,252E+2 Па.,   время 239 c.
давление 1,225E+2 Па.,   время 240 c.
давление 1,2E+2 Па.,   время 241 c.
давление 1,175E+2 Па.,   время 242 c.
давление 1,151E+2 Па.,   время 243 c.
давление 1,127E+2 Па.,   время 244 c.
давление 1,104E+2 Па.,   время 245 c.
давление 1,082E+2 Па.,   время 246 c.
давление 1,06E+2 Па.,   время 247 c.
давление 1,039E+2 Па.,   время 248 c.
давление 1,019E+2 Па.,   время 249 c.
давление 9,986E+1 Па.,   время 250 c.
давление 9,79E+1 Па.,   время 251 c.
давление 9,599E+1 Па.,   время 252 c.
давление 9,414E+1 Па.,   время 253 c.
давление 9,233E+1 Па.,   время 254 c.
давление 9,057E+1 Па.,   время 255 c.
давление 8,885E+1 Па.,   время 256 c.
давление 8,717E+1 Па.,   время 257 c.
давление 8,554E+1 Па.,   время 258 c.
давление 8,395E+1 Па.,   время 259 c.
давление 8,24E+1 Па.,   время 260 c.
давление 8,088E+1 Па.,   время 261 c.
давление 7,941E+1 Па.,   время 262 c.
давление 7,797E+1 Па.,   время 263 c.
давление 7,657E+1 Па.,   время 264 c.
давление 7,52E+1 Па.,   время 265 c.
давление 7,386E+1 Па.,   время 266 c.
давление 7,256E+1 Па.,   время 267 c.
давление 7,129E+1 Па.,   время 268 c.
давление 7,005E+1 Па.,   время 269 c.
давление 6,884E+1 Па.,   время 270 c.
давление 6,765E+1 Па.,   время 271 c.
давление 6,65E+1 Па.,   время 272 c.
давление 6,537E+1 Па.,   время 273 c.
давление 6,427E+1 Па.,   время 274 c.
давление 6,32E+1 Па.,   время 275 c.
давление 6,215E+1 Па.,   время 276 c.
давление 6,113E+1 Па.,   время 277 c.
давление 6,012E+1 Па.,   время 278 c.
давление 5,915E+1 Па.,   время 279 c.
давление 5,819E+1 Па.,   время 280 c.
давление 5,726E+1 Па.,   время 281 c.
давление 5,635E+1 Па.,   время 282 c.
давление 5,546E+1 Па.,   время 283 c.
давление 5,458E+1 Па.,   время 284 c.
давление 5,373E+1 Па.,   время 285 c.
давление 5,29E+1 Па.,   время 286 c.
давление 5,209E+1 Па.,   время 287 c.
давление 5,129E+1 Па.,   время 288 c.
давление 5,051E+1 Па.,   время 289 c.
давление 4,975E+1 Па.,   время 290 c.
давление 4,9E+1 Па.,   время 291 c.
давление 4,828E+1 Па.,   время 292 c.
давление 4,756E+1 Па.,   время 293 c.
давление 4,687E+1 Па.,   время 294 c.
давление 4,618E+1 Па.,   время 295 c.
давление 4,551E+1 Па.,   время 296 c.
давление 4,486E+1 Па.,   время 297 c.
давление 4,422E+1 Па.,   время 298 c.
давление 4,359E+1 Па.,   время 299 c.
давление 4,298E+1 Па.,   время 300 c.
давление 4,238E+1 Па.,   время 301 c.
давление 4,179E+1 Па.,   время 302 c.
давление 4,121E+1 Па.,   время 303 c.
давление 4,065E+1 Па.,   время 304 c.
давление 4,009E+1 Па.,   время 305 c.
давление 3,955E+1 Па.,   время 306 c.
давление 3,902E+1 Па.,   время 307 c.
давление 3,85E+1 Па.,   время 308 c.
давление 3,799E+1 Па.,   время 309 c.
давление 3,749E+1 Па.,   время 310 c.
давление 3,7E+1 Па.,   время 311 c.
давление 3,652E+1 Па.,   время 312 c.
давление 3,605E+1 Па.,   время 313 c.
давление 3,559E+1 Па.,   время 314 c.
давление 3,513E+1 Па.,   время 315 c.
давление 3,469E+1 Па.,   время 316 c.
давление 3,425E+1 Па.,   время 317 c.
давление 3,382E+1 Па.,   время 318 c.
давление 3,34E+1 Па.,   время 319 c.
давление 3,299E+1 Па.,   время 320 c.
давление 3,259E+1 Па.,   время 321 c.
давление 3,219E+1 Па.,   время 322 c.
давление 3,18E+1 Па.,   время 323 c.
давление 3,142E+1 Па.,   время 324 c.
