давление 1E+5 Па.,   время 0 c.
давление 5,017E-1 Па.,   время 2944 c.
давление 5,014E-1 Па.,   время 2945 c.
давление 5,011E-1 Па.,   время 2946 c.
давление 5,009E-1 Па.,   время 2947 c.
давление 5,006E-1 Па.,   время 2948 c.
давление 5,003E-1 Па.,   время 2949 c.
давление 5,001E-1 Па.,   время 2950 c.
давление 4,998E-1 Па.,   время 2951 c.
давление 4,996E-1 Па.,   время 2952 c.
давление 4,993E-1 Па.,   время 2953 c.
давление 4,99E-1 Па.,   время 2954 c.
давление 4,988E-1 Па.,   время 2955 c.
давление 4,985E-1 Па.,   время 2956 c.
давление 4,982E-1 Па.,   время 2957 c.
давление 4,98E-1 Па.,   время 2958 c.
давление 4,977E-1 Па.,   время 2959 c.
давление 4,975E-1 Па.,   время 2960 c.
давление 4,972E-1 Па.,   время 2961 c.
давление 4,969E-1 Па.,   время 2962 c.
давление 4,967E-1 Па.,   время 2963 c.
давление 4,964E-1 Па.,   время 2964 c.
давление 4,961E-1 Па.,   время 2965 c.
давление 4,959E-1 Па.,   время 2966 c.
давление 4,956E-1 Па.,   время 2967 c.
давление 4,953E-1 Па.,   время 2968 c.
давление 4,951E-1 Па.,   время 2969 c.
давление 4,948E-1 Па.,   время 2970 c.
давление 4,946E-1 Па.,   время 2971 c.
давление 4,943E-1 Па.,   время 2972 c.
давление 4,94E-1 Па.,   время 2973 c.
давление 4,938E-1 Па.,   время 2974 c.
давление 4,935E-1 Па.,   время 2975 c.
давление 4,932E-1 Па.,   время 2976 c.
давление 4,93E-1 Па.,   время 2977 c.
давление 4,927E-1 Па.,   время 2978 c.
давление 4,924E-1 Па.,   время 2979 c.
давление 4,922E-1 Па.,   время 2980 c.
давление 4,919E-1 Па.,   время 2981 c.
давление 4,917E-1 Па.,   время 2982 c.
давление 4,914E-1 Па.,   время 2983 c.
давление 4,911E-1 Па.,   время 2984 c.
давление 4,909E-1 Па.,   время 2985 c.
давление 4,906E-1 Па.,   время 2986 c.
давление 4,903E-1 Па.,   время 2987 c.
давление 4,901E-1 Па.,   время 2988 c.
давление 4,898E-1 Па.,   время 2989 c.
давление 4,895E-1 Па.,   время 2990 c.
давление 4,893E-1 Па.,   время 2991 c.
давление 4,89E-1 Па.,   время 2992 c.
давление 4,887E-1 Па.,   время 2993 c.
давление 4,885E-1 Па.,   время 2994 c.
давление 4,882E-1 Па.,   время 2995 c.
давление 4,88E-1 Па.,   время 2996 c.
давление 4,877E-1 Па.,   время 2997 c.
давление 4,874E-1 Па.,   время 2998 c.
давление 4,872E-1 Па.,   время 2999 c.
давление 4,869E-1 Па.,   время 3000 c.
давление 4,866E-1 Па.,   время 3001 c.
давление 4,864E-1 Па.,   время 3002 c.
давление 4,861E-1 Па.,   время 3003 c.
давление 4,858E-1 Па.,   время 3004 c.
давление 4,856E-1 Па.,   время 3005 c.
давление 4,853E-1 Па.,   время 3006 c.
давление 4,85E-1 Па.,   время 3007 c.
давление 4,848E-1 Па.,   время 3008 c.
давление 4,845E-1 Па.,   время 3009 c.
давление 4,842E-1 Па.,   время 3010 c.
давление 4,84E-1 Па.,   время 3011 c.
давление 4,837E-1 Па.,   время 3012 c.
давление 4,834E-1 Па.,   время 3013 c.
давление 4,832E-1 Па.,   время 3014 c.
давление 4,829E-1 Па.,   время 3015 c.
давление 4,827E-1 Па.,   время 3016 c.
давление 4,824E-1 Па.,   время 3017 c.
давление 4,821E-1 Па.,   время 3018 c.
давление 4,819E-1 Па.,   время 3019 c.
давление 4,816E-1 Па.,   время 3020 c.
давление 4,813E-1 Па.,   время 3021 c.
давление 4,811E-1 Па.,   время 3022 c.
давление 4,808E-1 Па.,   время 3023 c.
давление 4,805E-1 Па.,   время 3024 c.
давление 4,803E-1 Па.,   время 3025 c.
давление 4,8E-1 Па.,   время 3026 c.
давление 4,797E-1 Па.,   время 3027 c.
давление 4,795E-1 Па.,   время 3028 c.
давление 4,792E-1 Па.,   время 3029 c.
давление 4,789E-1 Па.,   время 3030 c.
давление 4,787E-1 Па.,   время 3031 c.
давление 4,784E-1 Па.,   время 3032 c.
давление 4,781E-1 Па.,   время 3033 c.
давление 4,779E-1 Па.,   время 3034 c.
давление 4,776E-1 Па.,   время 3035 c.
давление 4,773E-1 Па.,   время 3036 c.
давление 4,771E-1 Па.,   время 3037 c.
давление 4,768E-1 Па.,   время 3038 c.
давление 4,765E-1 Па.,   время 3039 c.
давление 4,763E-1 Па.,   время 3040 c.
давление 4,76E-1 Па.,   время 3041 c.
давление 4,757E-1 Па.,   время 3042 c.
давление 4,755E-1 Па.,   время 3043 c.
давление 4,752E-1 Па.,   время 3044 c.
давление 4,749E-1 Па.,   время 3045 c.
давление 4,747E-1 Па.,   время 3046 c.
давление 4,744E-1 Па.,   время 3047 c.
давление 4,741E-1 Па.,   время 3048 c.
давление 4,739E-1 Па.,   время 3049 c.
давление 4,736E-1 Па.,   время 3050 c.
давление 4,733E-1 Па.,   время 3051 c.
давление 4,731E-1 Па.,   время 3052 c.
давление 4,728E-1 Па.,   время 3053 c.
давление 4,725E-1 Па.,   время 3054 c.
давление 4,723E-1 Па.,   время 3055 c.
давление 4,72E-1 Па.,   время 3056 c.
давление 4,717E-1 Па.,   время 3057 c.
давление 4,715E-1 Па.,   время 3058 c.
давление 4,712E-1 Па.,   время 3059 c.
давление 4,709E-1 Па.,   время 3060 c.
давление 4,707E-1 Па.,   время 3061 c.
давление 4,704E-1 Па.,   время 3062 c.
давление 4,701E-1 Па.,   время 3063 c.
давление 4,699E-1 Па.,   время 3064 c.
давление 4,696E-1 Па.,   время 3065 c.
давление 4,693E-1 Па.,   время 3066 c.
давление 4,691E-1 Па.,   время 3067 c.
давление 4,688E-1 Па.,   время 3068 c.
давление 4,685E-1 Па.,   время 3069 c.
давление 4,683E-1 Па.,   время 3070 c.
давление 4,68E-1 Па.,   время 3071 c.
давление 4,677E-1 Па.,   время 3072 c.
давление 4,674E-1 Па.,   время 3073 c.
давление 4,672E-1 Па.,   время 3074 c.
давление 4,669E-1 Па.,   время 3075 c.
давление 4,666E-1 Па.,   время 3076 c.
давление 4,664E-1 Па.,   время 3077 c.
давление 4,661E-1 Па.,   время 3078 c.
давление 4,658E-1 Па.,   время 3079 c.
давление 4,656E-1 Па.,   время 3080 c.
давление 4,653E-1 Па.,   время 3081 c.
давление 4,65E-1 Па.,   время 3082 c.
давление 4,648E-1 Па.,   время 3083 c.
давление 4,645E-1 Па.,   время 3084 c.
давление 4,642E-1 Па.,   время 3085 c.
давление 4,64E-1 Па.,   время 3086 c.
давление 4,637E-1 Па.,   время 3087 c.
давление 4,634E-1 Па.,   время 3088 c.
давление 4,632E-1 Па.,   время 3089 c.
давление 4,629E-1 Па.,   время 3090 c.
давление 4,626E-1 Па.,   время 3091 c.
давление 4,623E-1 Па.,   время 3092 c.
давление 4,621E-1 Па.,   время 3093 c.
давление 4,618E-1 Па.,   время 3094 c.
давление 4,615E-1 Па.,   время 3095 c.
давление 4,613E-1 Па.,   время 3096 c.
давление 4,61E-1 Па.,   время 3097 c.
давление 4,607E-1 Па.,   время 3098 c.
давление 4,605E-1 Па.,   время 3099 c.
давление 4,602E-1 Па.,   время 3100 c.
давление 4,599E-1 Па.,   время 3101 c.
давление 4,597E-1 Па.,   время 3102 c.
давление 4,594E-1 Па.,   время 3103 c.
давление 4,591E-1 Па.,   время 3104 c.
давление 4,588E-1 Па.,   время 3105 c.
давление 4,586E-1 Па.,   время 3106 c.
давление 4,583E-1 Па.,   время 3107 c.
давление 4,58E-1 Па.,   время 3108 c.
давление 4,578E-1 Па.,   время 3109 c.
давление 4,575E-1 Па.,   время 3110 c.
давление 4,572E-1 Па.,   время 3111 c.
давление 4,57E-1 Па.,   время 3112 c.
давление 4,567E-1 Па.,   время 3113 c.
давление 4,564E-1 Па.,   время 3114 c.
давление 4,562E-1 Па.,   время 3115 c.
давление 4,559E-1 Па.,   время 3116 c.
давление 4,556E-1 Па.,   время 3117 c.
давление 4,553E-1 Па.,   время 3118 c.
давление 4,551E-1 Па.,   время 3119 c.
давление 4,548E-1 Па.,   время 3120 c.
давление 4,545E-1 Па.,   время 3121 c.
давление 4,543E-1 Па.,   время 3122 c.
давление 4,54E-1 Па.,   время 3123 c.
давление 4,537E-1 Па.,   время 3124 c.
давление 4,534E-1 Па.,   время 3125 c.
давление 4,532E-1 Па.,   время 3126 c.
давление 4,529E-1 Па.,   время 3127 c.
давление 4,526E-1 Па.,   время 3128 c.
давление 4,524E-1 Па.,   время 3129 c.
давление 4,521E-1 Па.,   время 3130 c.
давление 4,518E-1 Па.,   время 3131 c.
давление 4,516E-1 Па.,   время 3132 c.
давление 4,513E-1 Па.,   время 3133 c.
давление 4,51E-1 Па.,   время 3134 c.
давление 4,507E-1 Па.,   время 3135 c.
давление 4,505E-1 Па.,   время 3136 c.
давление 4,502E-1 Па.,   время 3137 c.
давление 4,499E-1 Па.,   время 3138 c.
давление 4,497E-1 Па.,   время 3139 c.
давление 4,494E-1 Па.,   время 3140 c.
давление 4,491E-1 Па.,   время 3141 c.
давление 4,488E-1 Па.,   время 3142 c.
давление 4,486E-1 Па.,   время 3143 c.
давление 4,483E-1 Па.,   время 3144 c.
давление 4,48E-1 Па.,   время 3145 c.
давление 4,478E-1 Па.,   время 3146 c.
давление 4,475E-1 Па.,   время 3147 c.
давление 4,472E-1 Па.,   время 3148 c.
давление 4,469E-1 Па.,   время 3149 c.
давление 4,467E-1 Па.,   время 3150 c.
давление 4,464E-1 Па.,   время 3151 c.
давление 4,461E-1 Па.,   время 3152 c.
давление 4,459E-1 Па.,   время 3153 c.
давление 4,456E-1 Па.,   время 3154 c.
давление 4,453E-1 Па.,   время 3155 c.
давление 4,45E-1 Па.,   время 3156 c.
давление 4,448E-1 Па.,   время 3157 c.
давление 4,445E-1 Па.,   время 3158 c.
давление 4,442E-1 Па.,   время 3159 c.
давление 4,44E-1 Па.,   время 3160 c.
давление 4,437E-1 Па.,   время 3161 c.
давление 4,434E-1 Па.,   время 3162 c.
давление 4,431E-1 Па.,   время 3163 c.
давление 4,429E-1 Па.,   время 3164 c.
давление 4,426E-1 Па.,   время 3165 c.
давление 4,423E-1 Па.,   время 3166 c.
давление 4,421E-1 Па.,   время 3167 c.
давление 4,418E-1 Па.,   время 3168 c.
давление 4,415E-1 Па.,   время 3169 c.
давление 4,412E-1 Па.,   время 3170 c.
давление 4,41E-1 Па.,   время 3171 c.
давление 4,407E-1 Па.,   время 3172 c.
давление 4,404E-1 Па.,   время 3173 c.
давление 4,401E-1 Па.,   время 3174 c.
давление 4,399E-1 Па.,   время 3175 c.
давление 4,396E-1 Па.,   время 3176 c.
давление 4,393E-1 Па.,   время 3177 c.
давление 4,391E-1 Па.,   время 3178 c.
давление 4,388E-1 Па.,   время 3179 c.
давление 4,385E-1 Па.,   время 3180 c.
давление 4,382E-1 Па.,   время 3181 c.
давление 4,38E-1 Па.,   время 3182 c.
давление 4,377E-1 Па.,   время 3183 c.
давление 4,374E-1 Па.,   время 3184 c.
давление 4,371E-1 Па.,   время 3185 c.
давление 4,369E-1 Па.,   время 3186 c.
давление 4,366E-1 Па.,   время 3187 c.
давление 4,363E-1 Па.,   время 3188 c.
давление 4,361E-1 Па.,   время 3189 c.
давление 4,358E-1 Па.,   время 3190 c.
давление 4,355E-1 Па.,   время 3191 c.
давление 4,352E-1 Па.,   время 3192 c.
давление 4,35E-1 Па.,   время 3193 c.
давление 4,347E-1 Па.,   время 3194 c.
давление 4,344E-1 Па.,   время 3195 c.
давление 4,341E-1 Па.,   время 3196 c.
давление 4,339E-1 Па.,   время 3197 c.
давление 4,336E-1 Па.,   время 3198 c.
давление 4,333E-1 Па.,   время 3199 c.
давление 4,33E-1 Па.,   время 3200 c.
давление 4,328E-1 Па.,   время 3201 c.
давление 4,325E-1 Па.,   время 3202 c.
давление 4,322E-1 Па.,   время 3203 c.
давление 4,319E-1 Па.,   время 3204 c.
давление 4,317E-1 Па.,   время 3205 c.
давление 4,314E-1 Па.,   время 3206 c.
давление 4,311E-1 Па.,   время 3207 c.
давление 4,309E-1 Па.,   время 3208 c.
давление 4,306E-1 Па.,   время 3209 c.
давление 4,303E-1 Па.,   время 3210 c.
давление 4,3E-1 Па.,   время 3211 c.
давление 4,298E-1 Па.,   время 3212 c.
давление 4,295E-1 Па.,   время 3213 c.
давление 4,292E-1 Па.,   время 3214 c.
давление 4,289E-1 Па.,   время 3215 c.
давление 4,287E-1 Па.,   время 3216 c.
давление 4,284E-1 Па.,   время 3217 c.
давление 4,281E-1 Па.,   время 3218 c.
давление 4,278E-1 Па.,   время 3219 c.
давление 4,276E-1 Па.,   время 3220 c.
давление 4,273E-1 Па.,   время 3221 c.
давление 4,27E-1 Па.,   время 3222 c.
давление 4,267E-1 Па.,   время 3223 c.
давление 4,265E-1 Па.,   время 3224 c.
давление 4,262E-1 Па.,   время 3225 c.
давление 4,259E-1 Па.,   время 3226 c.
давление 4,256E-1 Па.,   время 3227 c.
давление 4,254E-1 Па.,   время 3228 c.
давление 4,251E-1 Па.,   время 3229 c.
давление 4,248E-1 Па.,   время 3230 c.
давление 4,245E-1 Па.,   время 3231 c.
давление 4,243E-1 Па.,   время 3232 c.
давление 4,24E-1 Па.,   время 3233 c.
давление 4,237E-1 Па.,   время 3234 c.
давление 4,234E-1 Па.,   время 3235 c.
давление 4,232E-1 Па.,   время 3236 c.
давление 4,229E-1 Па.,   время 3237 c.
давление 4,226E-1 Па.,   время 3238 c.
давление 4,223E-1 Па.,   время 3239 c.
давление 4,221E-1 Па.,   время 3240 c.
давление 4,218E-1 Па.,   время 3241 c.
давление 4,215E-1 Па.,   время 3242 c.
давление 4,212E-1 Па.,   время 3243 c.
давление 4,21E-1 Па.,   время 3244 c.
давление 4,207E-1 Па.,   время 3245 c.
давление 4,204E-1 Па.,   время 3246 c.
давление 4,201E-1 Па.,   время 3247 c.
давление 4,198E-1 Па.,   время 3248 c.
давление 4,196E-1 Па.,   время 3249 c.
давление 4,193E-1 Па.,   время 3250 c.
давление 4,19E-1 Па.,   время 3251 c.
давление 4,187E-1 Па.,   время 3252 c.
давление 4,185E-1 Па.,   время 3253 c.
давление 4,182E-1 Па.,   время 3254 c.
давление 4,179E-1 Па.,   время 3255 c.
давление 4,176E-1 Па.,   время 3256 c.
давление 4,174E-1 Па.,   время 3257 c.
давление 4,171E-1 Па.,   время 3258 c.
давление 4,168E-1 Па.,   время 3259 c.
давление 4,165E-1 Па.,   время 3260 c.
давление 4,163E-1 Па.,   время 3261 c.
давление 4,16E-1 Па.,   время 3262 c.
давление 4,157E-1 Па.,   время 3263 c.
давление 4,154E-1 Па.,   время 3264 c.
давление 4,151E-1 Па.,   время 3265 c.
давление 4,149E-1 Па.,   время 3266 c.
давление 4,146E-1 Па.,   время 3267 c.
давление 4,143E-1 Па.,   время 3268 c.
давление 4,14E-1 Па.,   время 3269 c.
давление 4,138E-1 Па.,   время 3270 c.
давление 4,135E-1 Па.,   время 3271 c.
давление 4,132E-1 Па.,   время 3272 c.
давление 4,129E-1 Па.,   время 3273 c.
давление 4,127E-1 Па.,   время 3274 c.
давление 4,124E-1 Па.,   время 3275 c.
давление 4,121E-1 Па.,   время 3276 c.
давление 4,118E-1 Па.,   время 3277 c.
давление 4,115E-1 Па.,   время 3278 c.
давление 4,113E-1 Па.,   время 3279 c.
давление 4,11E-1 Па.,   время 3280 c.
давление 4,107E-1 Па.,   время 3281 c.
давление 4,104E-1 Па.,   время 3282 c.
давление 4,102E-1 Па.,   время 3283 c.
давление 4,099E-1 Па.,   время 3284 c.
давление 4,096E-1 Па.,   время 3285 c.
давление 4,093E-1 Па.,   время 3286 c.
давление 4,09E-1 Па.,   время 3287 c.
давление 4,088E-1 Па.,   время 3288 c.
давление 4,085E-1 Па.,   время 3289 c.
давление 4,082E-1 Па.,   время 3290 c.
давление 4,079E-1 Па.,   время 3291 c.
давление 4,077E-1 Па.,   время 3292 c.
давление 4,074E-1 Па.,   время 3293 c.
давление 4,071E-1 Па.,   время 3294 c.
давление 4,068E-1 Па.,   время 3295 c.
давление 4,065E-1 Па.,   время 3296 c.
давление 4,063E-1 Па.,   время 3297 c.
давление 4,06E-1 Па.,   время 3298 c.
давление 4,057E-1 Па.,   время 3299 c.
давление 4,054E-1 Па.,   время 3300 c.
давление 4,051E-1 Па.,   время 3301 c.
давление 4,049E-1 Па.,   время 3302 c.
давление 4,046E-1 Па.,   время 3303 c.
давление 4,043E-1 Па.,   время 3304 c.
давление 4,04E-1 Па.,   время 3305 c.
давление 4,038E-1 Па.,   время 3306 c.
давление 4,035E-1 Па.,   время 3307 c.
давление 4,032E-1 Па.,   время 3308 c.
давление 4,029E-1 Па.,   время 3309 c.
давление 4,026E-1 Па.,   время 3310 c.
давление 4,024E-1 Па.,   время 3311 c.
давление 4,021E-1 Па.,   время 3312 c.
давление 4,018E-1 Па.,   время 3313 c.
давление 4,015E-1 Па.,   время 3314 c.
давление 4,012E-1 Па.,   время 3315 c.
давление 4,01E-1 Па.,   время 3316 c.
давление 4,007E-1 Па.,   время 3317 c.
давление 4,004E-1 Па.,   время 3318 c.
давление 4,001E-1 Па.,   время 3319 c.
давление 3,998E-1 Па.,   время 3320 c.
давление 3,996E-1 Па.,   время 3321 c.
давление 3,993E-1 Па.,   время 3322 c.
давление 3,99E-1 Па.,   время 3323 c.
давление 3,987E-1 Па.,   время 3324 c.
давление 3,984E-1 Па.,   время 3325 c.
давление 3,982E-1 Па.,   время 3326 c.
давление 3,979E-1 Па.,   время 3327 c.
давление 3,976E-1 Па.,   время 3328 c.
давление 3,973E-1 Па.,   время 3329 c.
давление 3,97E-1 Па.,   время 3330 c.
давление 3,968E-1 Па.,   время 3331 c.
давление 3,965E-1 Па.,   время 3332 c.
давление 3,962E-1 Па.,   время 3333 c.
давление 3,959E-1 Па.,   время 3334 c.
давление 3,956E-1 Па.,   время 3335 c.
давление 3,954E-1 Па.,   время 3336 c.
давление 3,951E-1 Па.,   время 3337 c.
давление 3,948E-1 Па.,   время 3338 c.
давление 3,945E-1 Па.,   время 3339 c.
давление 3,942E-1 Па.,   время 3340 c.
давление 3,94E-1 Па.,   время 3341 c.
давление 3,937E-1 Па.,   время 3342 c.
давление 3,934E-1 Па.,   время 3343 c.
давление 3,931E-1 Па.,   время 3344 c.
давление 3,928E-1 Па.,   время 3345 c.
давление 3,926E-1 Па.,   время 3346 c.
давление 3,923E-1 Па.,   время 3347 c.
давление 3,92E-1 Па.,   время 3348 c.
давление 3,917E-1 Па.,   время 3349 c.
давление 3,914E-1 Па.,   время 3350 c.
давление 3,912E-1 Па.,   время 3351 c.
давление 3,909E-1 Па.,   время 3352 c.
давление 3,906E-1 Па.,   время 3353 c.
давление 3,903E-1 Па.,   время 3354 c.
давление 3,9E-1 Па.,   время 3355 c.
давление 3,897E-1 Па.,   время 3356 c.
давление 3,895E-1 Па.,   время 3357 c.
давление 3,892E-1 Па.,   время 3358 c.
давление 3,889E-1 Па.,   время 3359 c.
давление 3,886E-1 Па.,   время 3360 c.
давление 3,883E-1 Па.,   время 3361 c.
давление 3,881E-1 Па.,   время 3362 c.
давление 3,878E-1 Па.,   время 3363 c.
давление 3,875E-1 Па.,   время 3364 c.
давление 3,872E-1 Па.,   время 3365 c.
давление 3,869E-1 Па.,   время 3366 c.
давление 3,867E-1 Па.,   время 3367 c.
давление 3,864E-1 Па.,   время 3368 c.
давление 3,861E-1 Па.,   время 3369 c.
давление 3,858E-1 Па.,   время 3370 c.
давление 3,855E-1 Па.,   время 3371 c.
давление 3,852E-1 Па.,   время 3372 c.
давление 3,85E-1 Па.,   время 3373 c.
давление 3,847E-1 Па.,   время 3374 c.
давление 3,844E-1 Па.,   время 3375 c.
давление 3,841E-1 Па.,   время 3376 c.
давление 3,838E-1 Па.,   время 3377 c.
давление 3,835E-1 Па.,   время 3378 c.
давление 3,833E-1 Па.,   время 3379 c.
давление 3,83E-1 Па.,   время 3380 c.
давление 3,827E-1 Па.,   время 3381 c.
давление 3,824E-1 Па.,   время 3382 c.
давление 3,821E-1 Па.,   время 3383 c.
давление 3,819E-1 Па.,   время 3384 c.
давление 3,816E-1 Па.,   время 3385 c.
давление 3,813E-1 Па.,   время 3386 c.
давление 3,81E-1 Па.,   время 3387 c.
давление 3,807E-1 Па.,   время 3388 c.
давление 3,804E-1 Па.,   время 3389 c.
давление 3,802E-1 Па.,   время 3390 c.
давление 3,799E-1 Па.,   время 3391 c.
давление 3,796E-1 Па.,   время 3392 c.
давление 3,793E-1 Па.,   время 3393 c.
давление 3,79E-1 Па.,   время 3394 c.
давление 3,787E-1 Па.,   время 3395 c.
давление 3,785E-1 Па.,   время 3396 c.
давление 3,782E-1 Па.,   время 3397 c.
давление 3,779E-1 Па.,   время 3398 c.
давление 3,776E-1 Па.,   время 3399 c.
давление 3,773E-1 Па.,   время 3400 c.
давление 3,77E-1 Па.,   время 3401 c.
давление 3,768E-1 Па.,   время 3402 c.
давление 3,765E-1 Па.,   время 3403 c.
давление 3,762E-1 Па.,   время 3404 c.
давление 3,759E-1 Па.,   время 3405 c.
давление 3,756E-1 Па.,   время 3406 c.
давление 3,753E-1 Па.,   время 3407 c.
давление 3,751E-1 Па.,   время 3408 c.
давление 3,748E-1 Па.,   время 3409 c.
давление 3,745E-1 Па.,   время 3410 c.
давление 3,742E-1 Па.,   время 3411 c.
давление 3,739E-1 Па.,   время 3412 c.
давление 3,736E-1 Па.,   время 3413 c.
давление 3,733E-1 Па.,   время 3414 c.
давление 3,731E-1 Па.,   время 3415 c.
давление 3,728E-1 Па.,   время 3416 c.
давление 3,725E-1 Па.,   время 3417 c.
давление 3,722E-1 Па.,   время 3418 c.
давление 3,719E-1 Па.,   время 3419 c.
давление 3,716E-1 Па.,   время 3420 c.
давление 3,714E-1 Па.,   время 3421 c.
давление 3,711E-1 Па.,   время 3422 c.
давление 3,708E-1 Па.,   время 3423 c.
давление 3,705E-1 Па.,   время 3424 c.
давление 3,702E-1 Па.,   время 3425 c.
давление 3,699E-1 Па.,   время 3426 c.
давление 3,696E-1 Па.,   время 3427 c.
давление 3,694E-1 Па.,   время 3428 c.
давление 3,691E-1 Па.,   время 3429 c.
давление 3,688E-1 Па.,   время 3430 c.
давление 3,685E-1 Па.,   время 3431 c.
давление 3,682E-1 Па.,   время 3432 c.
давление 3,679E-1 Па.,   время 3433 c.
давление 3,677E-1 Па.,   время 3434 c.
давление 3,674E-1 Па.,   время 3435 c.
давление 3,671E-1 Па.,   время 3436 c.
давление 3,668E-1 Па.,   время 3437 c.
давление 3,665E-1 Па.,   время 3438 c.
давление 3,662E-1 Па.,   время 3439 c.
давление 3,659E-1 Па.,   время 3440 c.
давление 3,657E-1 Па.,   время 3441 c.
давление 3,654E-1 Па.,   время 3442 c.
давление 3,651E-1 Па.,   время 3443 c.
давление 3,648E-1 Па.,   время 3444 c.
давление 3,645E-1 Па.,   время 3445 c.
давление 3,642E-1 Па.,   время 3446 c.
давление 3,639E-1 Па.,   время 3447 c.
давление 3,637E-1 Па.,   время 3448 c.
давление 3,634E-1 Па.,   время 3449 c.
давление 3,631E-1 Па.,   время 3450 c.
давление 3,628E-1 Па.,   время 3451 c.
давление 3,625E-1 Па.,   время 3452 c.
давление 3,622E-1 Па.,   время 3453 c.
давление 3,619E-1 Па.,   время 3454 c.
давление 3,616E-1 Па.,   время 3455 c.
давление 3,614E-1 Па.,   время 3456 c.
давление 3,611E-1 Па.,   время 3457 c.
давление 3,608E-1 Па.,   время 3458 c.
давление 3,605E-1 Па.,   время 3459 c.
давление 3,602E-1 Па.,   время 3460 c.
давление 3,599E-1 Па.,   время 3461 c.
давление 3,596E-1 Па.,   время 3462 c.
давление 3,594E-1 Па.,   время 3463 c.
давление 3,591E-1 Па.,   время 3464 c.
давление 3,588E-1 Па.,   время 3465 c.
давление 3,585E-1 Па.,   время 3466 c.
давление 3,582E-1 Па.,   время 3467 c.
давление 3,579E-1 Па.,   время 3468 c.
давление 3,576E-1 Па.,   время 3469 c.
давление 3,573E-1 Па.,   время 3470 c.
давление 3,571E-1 Па.,   время 3471 c.
давление 3,568E-1 Па.,   время 3472 c.
давление 3,565E-1 Па.,   время 3473 c.
давление 3,562E-1 Па.,   время 3474 c.
давление 3,559E-1 Па.,   время 3475 c.
давление 3,556E-1 Па.,   время 3476 c.
давление 3,553E-1 Па.,   время 3477 c.
давление 3,55E-1 Па.,   время 3478 c.
давление 3,548E-1 Па.,   время 3479 c.
давление 3,545E-1 Па.,   время 3480 c.
давление 3,542E-1 Па.,   время 3481 c.
давление 3,539E-1 Па.,   время 3482 c.
давление 3,536E-1 Па.,   время 3483 c.
давление 3,533E-1 Па.,   время 3484 c.
давление 3,53E-1 Па.,   время 3485 c.
давление 3,527E-1 Па.,   время 3486 c.
давление 3,525E-1 Па.,   время 3487 c.
давление 3,522E-1 Па.,   время 3488 c.
давление 3,519E-1 Па.,   время 3489 c.
давление 3,516E-1 Па.,   время 3490 c.
давление 3,513E-1 Па.,   время 3491 c.
давление 3,51E-1 Па.,   время 3492 c.
давление 3,507E-1 Па.,   время 3493 c.
давление 3,504E-1 Па.,   время 3494 c.
давление 3,502E-1 Па.,   время 3495 c.
давление 3,499E-1 Па.,   время 3496 c.
давление 3,496E-1 Па.,   время 3497 c.
давление 3,493E-1 Па.,   время 3498 c.
давление 3,49E-1 Па.,   время 3499 c.
давление 3,487E-1 Па.,   время 3500 c.
давление 3,484E-1 Па.,   время 3501 c.
давление 3,481E-1 Па.,   время 3502 c.
давление 3,478E-1 Па.,   время 3503 c.
давление 3,476E-1 Па.,   время 3504 c.
давление 3,473E-1 Па.,   время 3505 c.
давление 3,47E-1 Па.,   время 3506 c.
давление 3,467E-1 Па.,   время 3507 c.
давление 3,464E-1 Па.,   время 3508 c.
давление 3,461E-1 Па.,   время 3509 c.
давление 3,458E-1 Па.,   время 3510 c.
давление 3,455E-1 Па.,   время 3511 c.
давление 3,452E-1 Па.,   время 3512 c.
давление 3,45E-1 Па.,   время 3513 c.
давление 3,447E-1 Па.,   время 3514 c.
давление 3,444E-1 Па.,   время 3515 c.
давление 3,441E-1 Па.,   время 3516 c.
давление 3,438E-1 Па.,   время 3517 c.
давление 3,435E-1 Па.,   время 3518 c.
давление 3,432E-1 Па.,   время 3519 c.
давление 3,429E-1 Па.,   время 3520 c.
давление 3,426E-1 Па.,   время 3521 c.
давление 3,423E-1 Па.,   время 3522 c.
давление 3,421E-1 Па.,   время 3523 c.
давление 3,418E-1 Па.,   время 3524 c.
давление 3,415E-1 Па.,   время 3525 c.
давление 3,412E-1 Па.,   время 3526 c.
давление 3,409E-1 Па.,   время 3527 c.
давление 3,406E-1 Па.,   время 3528 c.
давление 3,403E-1 Па.,   время 3529 c.
давление 3,4E-1 Па.,   время 3530 c.
давление 3,397E-1 Па.,   время 3531 c.
давление 3,394E-1 Па.,   время 3532 c.
давление 3,392E-1 Па.,   время 3533 c.
давление 3,389E-1 Па.,   время 3534 c.
давление 3,386E-1 Па.,   время 3535 c.
давление 3,383E-1 Па.,   время 3536 c.
давление 3,38E-1 Па.,   время 3537 c.
давление 3,377E-1 Па.,   время 3538 c.
давление 3,374E-1 Па.,   время 3539 c.
давление 3,371E-1 Па.,   время 3540 c.
давление 3,368E-1 Па.,   время 3541 c.
давление 3,365E-1 Па.,   время 3542 c.
давление 3,362E-1 Па.,   время 3543 c.
давление 3,36E-1 Па.,   время 3544 c.
давление 3,357E-1 Па.,   время 3545 c.
давление 3,354E-1 Па.,   время 3546 c.
давление 3,351E-1 Па.,   время 3547 c.
давление 3,348E-1 Па.,   время 3548 c.
давление 3,345E-1 Па.,   время 3549 c.
давление 3,342E-1 Па.,   время 3550 c.
